Château Cantenac-Brown,Cantenac Brown,12x75,2005,£23.75,£50.00,£600.00,0,11,CANT002,,110.53%,,,,,
Château Cantenac-Brown,Cantenac Brown,12x75,2000,£32.04,£50.00,£600.00,2,14,CANT001,,56.05%,,,,,
BUTTERFLY’S ROCK Red,"Castra Rubra, Butterfly's Rock",12x75,2010,£8.12,£11.00,£132.00,0,,CAST006,,35.47%,,,,,
CASTRA RUBRA Red,"Castra Rubra, Castra Rubra",12x75,2008,£7.64,£10.50,£126.00,0,,CAST005,,37.43%,,,,,
DOMINANT Red,"Castra Rubra, Dominant Red",12x75,2010,£4.55,£7.00,£84.00,0,,CAST001,,53.85%,,,,,
DOMINANT White,"Castra Rubra, Dominant White",12x75,2013,£4.55,£7.00,£84.00,0,,CAST002,,53.85%,,,,,
MOTLEY COCK Red,"Castra Rubra, Motley Cock Red",12x75,2009,£5.04,£7.00,£84.00,0,,CAST003,,38.89%,,,,,
MOTLEY COCK White,"Castra Rubra, Motley Cock White",12x75,2013,£5.28,£7.00,£84.00,0,,CAST004,,32.58%,,,,,
NIMBUS Pinot Noir,"Castra Rubra, Nimbus Pinot Noir",12x75,2012,£8.12,£14.00,£168.00,0,,CAST007,New Stock,72.41%,,,,,
CASTRA RUBRA Petite Mensung (sweet - 50cl),"Castra Rubra, Petit Manseng",12x50,2011,£8.12,£14.00,£168.00,0,,CAST008,New Stock,72.41%,,,,,
LA CAVE DE LUGNY Macon Lugny 'Le Charmes',"Cave Lugny, Macon Lugny Charmes",12x75,2013,£6.52,£8.75,£105.00,40,,FRIA007,recently reordered / new cost price,34.20%,,,,,
CHARLES DELOIRE Pouilly Fumé ,"Charles Deloire, Pouilly Fume",12x75,2014,£6.30,£10.75,£129.00,80,,DELO001,reordered on 23/03/2015 / new cost price,70.63%,,,,,
     CHARLES DELOIRE Half Bottles (24 x 35.5cl),"Charles Deloire, Pouilly Fume",24x37.5,2014,£3.47,£6.50,£156.00,6,,DELO002,reordered on 23/03/2016 / new cost price,87.32%,,,,,
 Château Chasse Spleen     Half Bottles (12 x 37.5cl),Chasse Spleen,12x37.5,2009,£8.23,£15.50,£372.00,5,,CHASS002,,88.34%,,,,,
Château Chasse Spleen,Chasse Spleen,12x75,2006,£17.38,£32.00,£384.00,0,25,CHASS001,,84.12%,,,,,
CHASSENAY D’ARCE Martivey - Brut (6 x 75cl),"Chassenay D'arc, Martivey Brut",6x75,NV,£11.30,£16.75,£100.50,82,,CHAS001,need to consider new supplier - Bibendum,48.23%,,,,,
CHASSENAY D’ARCE Martivey - Rosé (6 x 75cl),"Chassenay D'arc, Martivey Rose",6x75,NV,£13.40,£20.25,£121.50,26,,CHAS002,need to consider new supplier - Bibendum,51.12%,,,,,
San Martino 'Vecchio Il Vigneto' DOC Tocai,"Citari, San Martino Della Battaglia Vv",12x75,2010,£5.86,£8.75,£105.00,35,,CITA002,,49.32%,,,,,
Château Climens,Climens,12x75,2005,£47.00,£68.00,£816.00,1,,CLIM001,,44.68%,,,,,
Château Clinet,Clinet,12x75,2000,£83.00,£120.00,"£1,440.00",0,,CLIN001,Price Incresed £25.00 - New cost price,,,,,,
Château Clos l’Eglise  (6 x 75cl),Clos Eglise,6x75,2008,£34.46,£80.00,£960.00,5,,CLOS004,,,,,,,
Château Clos Fourtet ,Clos Fourtet,12x75,2000,£67.50,£80.00,£960.00,0,45,CLOSF001,,18.52%,,,,,
Château Clos du Marquis,Clos Marquis,12x75,2009,£27.79,£50.00,£600.00,15,,MARQ002,,79.92%,,,,,
Château Clos du Marquis ,Clos Marquis,12x75,2008,£20.00,£38.00,£456.00,2,4,MARQ001,,90.00%,,,,,
    CHÂTEAU FLEUR DES PINS – GRAVES   Half Bottles (12 x 37.5cl),"Clos Pins, Rouge",12x37.5,2009,£5.50,£7.25,£87.00,3,,FLEU001,,31.82%,,,,,
 Château Clos René     Half Bottles (12 x 37.5cl),Clos Rene,12x37.5,2000,£11.77,£16.50,£396.00,13,41,CLOS002,,,,,,,
COCHE BOUILLOT Meursault 1er Cru ‘les Charmes’,"Coche-Bouillot, Meursault Charmes",12x75,2004,£27.50,£36.75,£441.00,0,,BOUI001,dropping this line,33.64%,,,,,
"Abba, Tinta de Toro ","Comparron, Abba",12x75,2008,£6.26,£10.50,£126.00,20,,COMP005,New Stock,67.73%,,,,,
"Camparron, Tinta de Toro Joven","Comparron, Cosecha Malvasia Red",12x75,2014,£4.04,£5.50,£66.00,60,,COMP002,New Stock,36.14%,,,,,
"Camparron, Malvasia Joven White","Comparron, Cosecha Malvasia White",12x75,2014,£4.04,£5.50,£66.00,60,,COMP001,New Stock,36.14%,,,,,
"Camparron, Tinta de Toro  Reserva","Comparron, Reserva",12x75,2008,£5.76,£8.55,£102.60,20,,COMP004,New Stock,48.44%,,,,,
"Camparron, Tinta de Toro  Seleccion","Comparron, Seleccion",12x75,2011,£4.40,£6.80,£81.60,20,,COMP003,New Stock,54.55%,,,,,
Château La Conseillante,Conseillante,12x75,2000,£140.00,£230.00,"£2,760.00",0,17,CONS003,,,,,,,
Château La Conseillante,Conseillante,12x75,1998,£92.50,£130.00,"£1,560.00",0,20,CONS001,,,,,,,
Château La Conseillante,Conseillante,12x75,1995,£85.83,£130.00,"£1,560.00",0,11,CONS002,,,,,,,
Amarone della Valpolicella Classico DOC,"Corte Aleardi, Amarone Valpolicella Classico",12x75,2007,£20.63,£29.25,£351.00,0,,CORT002,],41.78%,,,,,
 Amarone della Valpolicella Classico DOC     Magnums (6 x 150cl),"Corte Aleardi, Amarone Valpolicella Classico",6x150,2006,£40.39,£70.00,£420.00,5,,CORT003,,73.31%,,,,,
Ripasso Valpolicella Classico Superiore Bure Alto DOC,"Corte Aleardi, Ripasso Valpolicella Bure Alto",12x75,2008,£9.23,£14.25,£171.00,10,,CORT001,ISSUE,54.39%,,,,,
Château Cos d’Estournel,Cos d'Estournel,12x75,2006,£69.17,£140.00,"£1,680.00",0,9,COSE003,,102.40%,,,,,
Château Cos d’Estournel,Cos d'Estournel,12x75,2001,£72.90,£130.00,"£1,560.00",0,17,COSE002,,78.33%,,,,,
Château Cos d’Estournel,Cos d'Estournel,12x75,2000,£106.67,£145.00,"£1,740.00",0,1,COSE001,,35.93%,,,,,
Château La Croix de Gay,Croix Gay,12x75,2000,£27.00,£40.00,£480.00,0,1,CROI001,,,,,,,
Château Dauzac,Dauzac,12x75,1996,£22.33,£32.00,£384.00,0,26,DAUZ002,,43.30%,,,,,
Château Dauzac,Dauzac,12x75,1995,£23.54,£32.00,£384.00,17,40,DAUZ001,,35.94%,,,,,
Château Domaine de Chevalier,Domaine Chevalier,12x75,2010,£37.71,£65.00,£780.00,1,,DCHE002,,72.37%,,,,,
Château Domaine de Chevalier,Domaine Chevalier,12x75,2009,£36.29,£65.00,£780.00,5,,DCHE001,,79.11%,,,,,
DOMAINE GUYON Echezeaux Grand Cru ,"Domaine Guyon, Echezeaux Grand Cru",12x75,2004,£40.00,£80.00,£960.00,3,,GUYO011,needs attention - Price changed,100.00%,,,,,
DOMAINE GUYON Vosne Romanée 1er Cru 'En Orveaux',"Domaine Guyon, Vosne Romanee Orveaux",12x75,2004,£29.80,£55.00,£660.00,0,,GUYO010,needs attention - Price changed,84.56%,,,,,
Château La Dominique,Dominique,12x75,2000,£32.25,£48.00,£576.00,0,13,DOMI001,,48.84%,,,,,
Château Ducru-Beaucaillou,Ducru Beaucaillou,12x75,2003,£98.00,£145.00,"£1,740.00",0,9,DUCR004,,47.96%,,,,,
Château Ducru-Beaucaillou,Ducru Beaucaillou,12x75,2000,£112.50,£180.00,"£2,160.00",0,5,DUCR003,,60.00%,,,,,
Château Ducru-Beaucaillou,Ducru Beaucaillou,12x75,1999,£75.42,£100.00,"£1,200.00",0,24,DUCR002,,32.59%,,,,,
Château Ducru-Beaucaillou,Ducru Beaucaillou,12x75,1998,£72.20,£100.00,"£1,200.00",0,6,DUCR001,,38.50%,,,,,
DOMAINE ELLEVIN Chablis ,"Ellevin, Chablis",12x75,2012,£7.75,£11.00,£132.00,60,,ELLE002,,41.94%,,,,,
    DOMAINE ELLEVIN Chablis   Half Bottles (24 x 37.5cl),"Ellevin, Chablis",24x37.5,2013,£4.91,£7.25,£174.00,10,,ELLE003,,47.66%,,,,,
      DOMAINE ELLEVIN Chablis Magnums (6 x 150cl),"Ellevin, Chablis",6x150,2012,£10.54,£29.00,£174.00,8,,ELLE004,,175.14%,,,,,
DOMAINE ELLEVIN Chablis 1er Cru Vaucoupin,"Ellevin, Chablis Vaucoupin",12x75,2013,£8.44,£15.25,£183.00,15,,ELLE005,recently reordered / new cost price,80.69%,,,,,
     DOMAINE ELLEVIN Chablis 1er Cru Vaucoupin  Half Bottles (24 x 37.5cl),"Ellevin, Chablis Vaucoupin",24x37.5,2012,£5.44,£9.25,£222.00,6,,ELLE006,,70.04%,,,,,
      DOMAINE ELLEVIN Chablis 1er Cru Vaucoupin Magnums (6 x 150cl),"Ellevin, Chablis Vaucoupin",6x150,2011,£19.68,£36.50,£219.00,3,,ELLE007,,85.47%,,,,,
   DOMAINE ELLEVIN Chablis 1er Cru Vosgros,"Ellevin, Chablis Vosgros",12x75,2013,£8.44,£15.25,£183.00,35,,ELLE008,recently reordered / new cost price,80.69%,,,,,
DOMAINE ELLEVIN Petit Chablis ,"Ellevin, Petit Chablis",12x75,2012,£6.76,£9.00,£123.00,0,,ELLE001,dropping this product - Price changed,33.14%,,,,,
"Spumante Brut Rose, Borgo Imperiale","Empson, Spumante Borgo Imperiale Brut Rose",12x75,NV,£5.54,£7.25,£87.00,41,,BORG001,,30.87%,,,,,
Château L’Evangile,Evangile,12x75,2005,£137.50,£210.00,"£2,520.00",0,6,EVAN003,,,,,,,
Château L’Evangile,Evangile,12x75,1999,£72.50,£140.00,"£1,680.00",0,27,EVAN002,,,,,,,
Château L’Evangile,Evangile,12x75,1998,£118.80,£180.00,"£2,160.00",0,1,EVAN001,,,,,,,
DOMAINE LAURENT PILLOT Chassagne Montrachet 1er Cru ‘Champgains’,"Fernand & Laurent Pillot, Chassagne Montrachet Champgains",12x75,2009,£18.79,£28.50,£342.00,0,,PILL001,,51.68%,,,,,
Château Figeac,Figeac,12x75,2006,£50.46,£110.00,"£1,320.00",5,,FIGE001,,117.99%,,,,,
Château Figeac,Figeac,12x75,2005,£66.04,£125.00,"£1,500.00",4,7,FIGE002,,89.28%,,,,,
    Château Fleur des Pins Doux  Half Bottles (12 x 37.5cl) GRAVES SUPERIEURES,"Fleur de Pin, Doux",12x37.5,2009,£5.50,£7.50,£180.00,,30,FLEU002,,36.36%,,,,,
Château La Fleur de Gay,Fleur Gay,12x75,1995,£52.50,£70.00,£840.00,0,10,FGAY001,Price Incresed £2.00,,,,,,
Château Fonbel,Fonbel,12x75,2006,£13.13,£24.00,£288.00,0,10,FONB001,,82.79%,,,,,
Château Fonplegade,Fonplegade,12x75,2010,£20.00,£30.00,£360.00,110,60,FONP001,,50.00%,,,,,
  Château Fonplegade    Half Bottles (12 x 37.5cl),Fonplegade,12x37.5,2010,£5.57,£17.50,£420.00,25,,FONP003,,214.18%,,,,,
   Château Fonplegade   Magnums (6 x 150cl),Fonplegade,6x150,2010,£40.00,£70.00,£420.00,10,,FONP002,,75.00%,,,,,
BOURGOGNE BLANC Bourgogne Blanc 'La Chatelaine',"Friarwood, Bourgogne Blanc Chatelaine",12x75,2013,£7.61,£10.50,£127.00,42,,FRIA006,price increased,37.98%,,,,,
Friarwood 1er Cru ,"Friarwood, Champagne Brut",12x75,NV,£13.57,£20.00,£240.00,55,,FRIA003,need to consider new supplier,47.38%,,,,,
Friarwood 1er Cru - Brut Half Bottles (12 x 37.5cl) ,"Friarwood, Champagne Brut",12x37.5,NV,£12.57,£13.50,£324.00,8,,FRIA004,Price changed  - New cost price for next order £6.79,7.40%,,,,,
    Friarwood 1er Cru   Magnums (6 x 150cl),"Friarwood, Champagne Brut",6x150,NV,£27.28,£47.00,£282.00,0,,FRIA005,,72.29%,,,,,
FRIARWOOD’S VIN DE PAYS D’OC Merlot Vieilles Vignes 'Le Marcassin',"Friarwood, Marcassin Merlot",12x75,2011,£4.38,£6.25,£75.00,70,,FRIA002,,42.69%,,,,,
FRIARWOOD’S VIN DE PAYS D’OC Sauvignon Blanc 'Le Saumon',"Friarwood, Saumon Sauvignon Blanc",12x75,2012,£4.35,£6.25,£75.00,0,264,FRIA001,reorded 150 cases - 08/04/2015 / new cost price,43.68%,,,,,
Château La Gaffeliere,Gaffeliere,12x75,2009,£44.79,£76.00,£912.00,5,,GAFF003,,69.68%,,,,,
Château La Gaffeliere,Gaffeliere,12x75,2005,£41.46,£80.00,£960.00,0,10,GAFF002,,92.96%,,,,,
Château La Gaffeliere,Gaffeliere,12x75,1998,£32.25,£60.00,£720.00,0,18,GAFF001,,86.05%,,,,,
Château Le Gay,Gay,12x75,2004,£32.50,£80.00,£960.00,0,18,LEGA001,,,,,,,
Château Giscours,Giscours,12x75,2009,£35.00,£53.00,£636.00,0,,GISC008,to buy on LX,51.43%,,,,,
    Château Giscours  Half Bottles (12 x 37.5cl),Giscours,12x37.5,2009,£14.87,£29.00,£348.00,5,,GISC007,,95.02%,,,,,
Château Giscours,Giscours,12x75,2006,£25.17,£50.00,£600.00,0,8,GISC006,,98.65%,,,,,
Château Giscours,Giscours,12x75,2005,,£55.00,£660.00,,1,GISC005,to put a price - to double check,,,,,,
Château Giscours,Giscours,12x75,2004,£28.00,£55.00,£660.00,0,37,GISC004,,96.43%,,,,,
 Château Giscours     Half Bottles (12 x 37.5cl),Giscours,12x37.5,2004,£16.00,£30.00,£720.00,0,16,GISC003,,87.50%,,,,,
Château Giscours,Giscours,12x75,2003,£32.25,£50.00,£600.00,0,14,GISC002,,55.04%,,,,,
Château Giscours,Giscours,12x75,2001,£36.50,£50.00,£600.00,0,12,GISC001,,36.99%,,,,,
Château Gloria,Gloria,12x75,2009,£23.54,£40.00,£480.00,10,,GLOR002,,69.92%,,,,,
Château Gloria,Gloria,12x75,2005,£28.00,£40.00,£480.00,0,16,GLOR001,,42.86%,,,,,
 Château Grand Corbin      Half Bottles (12 x 37.5cl),Grand Corbin,12x37.5,2006,£8.00,£14.50,£348.00,0,12,CORB002,,81.25%,,,,,
Château Grand Corbin,Grand Corbin,12x75,2000,£16.46,£25.50,£306.00,31,42,CORB001,Price Incresed £3,54.92%,,,,,
DOMAINE DU GRAND MONTMIRAIL Gigondas,"Grand Montmirail, Gigondas Beauchamp",12x75,2012,£9.72,£14.50,£174.00,47,,MONT011,,49.18%,,,,,
DOMAINE DU GRAND MONTMIRAIL Vacqueyras ,"Grand Montmirail, Vacqueyras Deux Frere",12x75,2012,£8.57,£12.00,£144.00,31,,MONT010,,40.02%,,,,,
Château Grand Puy Ducasse,Grand Puy Ducasse,12x75,2005,£23.75,£45.00,£540.00,0,10,DUCA001,,89.47%,,,,,
Château Grand Puy Lacoste,Grand Puy Lacoste,12x75,2006,£27.29,£60.00,£720.00,0,8,GRAN009,,119.86%,,,,,
Château Grand Puy Lacoste,Grand Puy Lacoste,12x75,2005,£48.54,£75.00,£900.00,0,12,GRAN008,,54.51%,,,,,
Château Grand Puy Lacoste,Grand Puy Lacoste,12x75,2003,£29.52,£45.00,£540.00,0,34,GRAN007,,52.44%,,,,,
Château Grand Puy Lacoste,Grand Puy Lacoste,12x75,2000,£57.04,£75.00,£900.00,0,11,GRAN006,,31.49%,,,,,
Château Grand Puy Lacoste,Grand Puy Lacoste,12x75,1999,£36.50,£48.00,£576.00,0,18,GRAN005,,31.51%,,,,,
Château Grand Puy Lacoste,Grand Puy Lacoste,12x75,1998,£34.38,£48.00,£576.00,0,13,GRAN004,,39.62%,,,,,
Château Grand Puy Lacoste,Grand Puy Lacoste,12x75,1995,£20.00,£90.00,"£1,080.00",0,13,GRAN003 ,,350.00%,,,,,
Château Gruaud Larose,Gruaud Larose,12x75,2006,£28.00,£60.00,£720.00,0,6,GRUA001,,114.29%,,,,,
GUILLOPÉES – CUVÉE HENRI DU VERNOY Sancerre Blanc ,"Guillopees, Sancerre Cuvee Henri Vernoy",12x75,2012 / 13,£8.75,£11.00,£132.00,44,,GUIL001,wholesale only,25.71%,,,,,
    GUILLOPÉES – CUVÉE HENRI DU VERNOY Sancerre Blanc  Half Bottles (24 x 35.5cl),"Guillopees, Sancerre Cuvee Henri Vernoy",24x37.5,2013,£5.52,£6.75,£162.00,5,,GUIL002,wholesale only - Price changed,22.28%,,,,,
GUILLOPÉES – CUVÉE HENRI DU VERNOY Sancerre Rosé,"Guillopees, Sancerre Cuvee Henri Vernoy Rose",12x75,2013,£6.51,£11.50,£138.00,20,,GUIL004,wholesale only,76.65%,,,,,
  GUILLOPÉES – CUVÉE HENRI DU VERNOY Sancerre Rosé   Half Bottles (24 x 35.5cl),"Guillopees, Sancerre Cuvee Henri Vernoy Rose",24x37.5,2013,£4.53,£6.75,£81.00,6,,GUIL003,wholesale only,49.01%,,,,,
Château Haut-Brion,Haut Brion,12x75,2001,£219.17,£400.00,"£4,800.00",0,1,HAUT001,,82.51%,,,,,
DOMAINE DANIEL BIDEAU Muscadet ‘Clos du Chene’ ,"Haute Cariziere, Muscadet Clos Chene",12x75,2012,£4.82,£7.25,£43.50,0,,DANI001,Droppng this line - New supplier needed,50.41%,,,,,
DOMAINE REMORIQUET Nuits St Georges,"Henri & Gilles Remoriquet, Nuits Saint Georges",12x75,2009,£14.95,£23.75,£285.00,0,,REMO001,needs attention,58.86%,,,,,
DOMAINE DES ECHARDS / DELAGRANGE Pommard 'Vaumuriens Hauts',"Henri Delagrange, Pommard Vaumuriens Hauts",12x75,2008,£14.03,£23.25,£279.00,0,,DELA001,,65.72%,,,,,
"DOMAINE DES ECHARDS / DELAGRANGE Volnay, Vieilles Vignes","Henri Delagrange, Volnay Vv",12x75,2006,£12.35,£21.25,£255.00,3,,DELA002,,72.06%,,,,,
Château d’Issan,Issan,12x75,2010,£34.17,£66.00,£792.00,3,,ISSA004,,93.15%,,,,,
Château d’Issan,Issan,12x75,2009,£34.17,£57.00,£684.00,5,,ISSA003,,66.81%,,,,,
Château d’Issan,Issan,12x75,2008,£26.38,£45.00,£540.00,2,,ISSA002,,70.58%,,,,,
Château d’Issan,Issan,12x75,2005,£45.00,£65.00,£780.00,0,2,ISSA001,,44.44%,,,,,
Domaine Jean Chartron Puligny Montrachet 1er Cru ‘Clos du Cailleret’ ,"Jean Chartron, Puligny Montrachet Clos Cailleret Rouge",12x75,2006,£20.90,£48.50,£582.00,0,,CHAR001,"reorder, if other lines available",132.06%,,,,,
CORDIER Saint Véran 'Jean Cordier',"Jean Cordier, Saint Veran",12x75,2012,£12.01,£16.00,£192.00,12,,CORD001,to reorder - price changed,33.22%,,,,,
Château Lafite Rothschild,Lafite Rothschild,12x75,2004,£385.83,£950.00,"£11,400.00",0,4,LAFI001,,146.22%,,,,,
Château Lafon-Rochet,Lafon Rochet,12x75,2009,£23.54,£43.00,£516.00,2,,LAFO003,,82.67%,,,,,
Château Lafon-Rochet ,Lafon Rochet,12x75,2005,£24.96,£55.00,£660.00,5,22,LAFO002,,120.35%,,,,,
Château Lafon-Rochet ,Lafon Rochet,12x75,1995,£25.00,£48.00,£576.00,0,23,LAFO001,,92.00%,,,,,
    Château Lagrange  Half Bottles (12 x 37.5cl),Lagrange Saint Julien,12x37.5,2009,£14.20,£29.00,£696.00,2,,LAGR003,,104.23%,,,,,
Château Lagrange,Lagrange Saint Julien,12x75,2005,£32.25,£65.00,£780.00,0,12,LAGR002,,101.55%,,,,,
Château Lagrange,Lagrange Saint Julien,12x75,2000,£46.42,£85.00,"£1,020.00",0,8,LAGR001,,83.11%,,,,,
Château La Lagune,Lagune,12x75,1998,£28.00,£45.00,£540.00,0,16,LAGU001,,60.71%,,,,,
Château Langoa-Barton,Langoa Barton,12x75,2006,£23.04,£50.00,£600.00,0,3,LANG001,to check,117.01%,,,,,
    Château Lascombes  Half Bottles (12 x 37.5cl),Lascombes,12x37.5,2009,£20.27,£45.00,"£1,080.00",5,,LASC009,,122.00%,,,,,
Château Lascombes,Lascombes,12x75,2006,£38.50,£65.00,£780.00,0,6,LASC008,,68.83%,,,,,
Château Lascombes,Lascombes,12x75,2005,£50.46,£75.00,£900.00,10,,LASC007,,48.63%,,,,,
    Château Lascombes  Magnums (6 x 150cl),Lascombes,6x150,2005,£100.92,£160.00,£960.00,5,,LASC006,,58.54%,,,,,
Château Lascombes,Lascombes,12x75,2004,£39.33,£70.00,£840.00,0,3,LASC005,,77.98%,,,,,
   Château Lascombes   Half Bottles (12 x 37.5cl),Lascombes,12x37.5,2004,£19.67,£37.50,£900.00,0,11,LASC004,,90.65%,,,,,
