Stock Location,Cellar,Retail,SKU,L-WIN,Wine Searcher,Country,Region,Sub Region,Colour,Type,Alc%,Classification,Bottles/Case,Box Type,Wine Name,Vintage,Single size,"Bottle price landed, DP excellar",Shop Price + VAT,Shop Price ex VAT,Actual Margin,Note
,FALSE,FALSE,,,,,,,,,,,,,"Bouchard Pere et Fils, Bourgogne Vignee",2012,0.75,NA, £	11.60 ,9.28,,check with Simon the purchase price
C2,TRUE,FALSE,,,,,,,,,,Grand Cru Classe,12,,Boyd Cantenac,2005,0.75,28, £	72.75 ,58.2,108%,
C4,TRUE,FALSE,,,,,,,,,,,24,,Boyd Cantenac,2000,0.375,12, £	40.00 ,32,167%,
C8,TRUE,FALSE,,,,,,,,,,Grand Cru Classe,,,Boyd Cantenac,2000,0.75,23.5416666666667, £	72.75 ,58.2,147%,
,FALSE,FALSE,,,,,,,,,,,,,Branaire Ducru,2009,0.375,17.0833333333333,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Branaire Ducru,2000,0.75,46.42, £	109.15 ,87.32,88%,
,FALSE,FALSE,,,,,,,,,,,,,Branaire Ducru,2008,0.75,27.0833333333333, £	72.75 ,58.2,115%,
,FALSE,FALSE,,,,,,,,,,,,,Branaire Ducru,2010,0.75,34.1666666666667,POA,NA,,
C1,TRUE,FALSE,,,,,,,,,,,12,,Brane Cantenac,2005,0.75,41.46, £	101.85 ,81.48,97%,
,FALSE,FALSE,,,,,,,,,,,,,Brane Cantenac,2009,0.375,18.8541666666667,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Brane Cantenac,2008,0.75,26.0833333333333, £	75.65 ,60.52,132%,
,FALSE,FALSE,,,,,,,,,,,,,Brane Cantenac,2010,0.75,40.25,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Broustet,2001,0.75,18.79, £	28.50 ,22.8,21%,19 botlles in the cellar ??
B9,TRUE,FALSE,,,,,,,,,,,12,,"Cailleteau Bergeron, Rouge",2012,0.75,6.98083333333333, £	13.85 ,11.08,59%,
C5,TRUE,FALSE,,,,,,,,,,,12,,Calon Segur,2000,0.75,58.5, £	196.50 ,157.2,169%,
C5,TRUE,FALSE,,,,,,,,,,,12,,Calon Segur,2001,0.75,41.46, £	145.50 ,116.4,181%,
C5,TRUE,FALSE,,,,,,,,,,,12,,Calon Segur,2006,0.75,37.92, £	160.50 ,128.4,239%,
,FALSE,FALSE,,,,,,,,,,,,,Calon Segur,2009,0.75,46.9166666666667,NA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Cambon Pelouse,2005,0.75,11, £	40.75 ,32.6,196%,
C4,TRUE,FALSE,,,,,,,,,,,24,,Camensac,2000,0.375,8.69, £	26.90 ,21.52,148%,
,FALSE,FALSE,,,,,,,,,,,,,Camensac,2000,0.75,17.1666666666667, £	46.55 ,37.24,117%,
,FALSE,FALSE,,,,,,,,,,,,,Canon (Saint Emilion),2009,0.75,58.9583333333333,POA,NA,,
C2,TRUE,FALSE,,,,,,,,,,,12,,Cantenac Brown,2005,0.75,23.75, £	72.75 ,58.2,145%,
B1,TRUE,FALSE,,,,,,,Red,,,Grand Cru Classe,12,Wood,Cantenac Brown,2000,0.75,32.0416666666667, £	72.75 ,58.2,82%,
,FALSE,FALSE,,,,,,,,,,,,,Cantenac Brown,2009,0.75,25.6666666666667,POA,NA,,
A8,TRUE,FALSE,,,,Bulgaria,,,Red,,,,,,"Castra Rubra, Butterflys Rock",2010,0.75,8.12, £	15.70 ,12.56,55%,
A8,TRUE,FALSE,,,,Bulgaria,,,Red,,,,,,"Castra Rubra, Castra Rubra",2008,0.75,7.79, £	14.90 ,11.92,53%,
A8,TRUE,FALSE,,,,Bulgaria,,,Red,,,,,,"Castra Rubra, Dominant Red",2010,0.75,5.05, £	9.80 ,7.84,55%,
A4,TRUE,FALSE,,,,Bulgaria,,,White,,,,,,"Castra Rubra, Dominant White",2013,0.75,5.28, £	10.50 ,8.4,59%,
A6,TRUE,FALSE,,,,Bulgaria,,,Red,,,,,,"Castra Rubra, Motley Cock Red",2009,0.75,5.04, £	9.80 ,7.84,56%,
A8,TRUE,FALSE,,,,Bulgaria,,,White,,,,,,"Castra Rubra, Motley Cock White",2013,0.75,5.28, £	9.80 ,7.84,48%,
A6,TRUE,FALSE,,,,Bulgaria,,,Red,,,,,,"Castra Rubra, Nimbus Premium",2012,0.75,,,0,,Unlisted
A6,TRUE,FALSE,,,,Bulgaria,,,White,Sweet,,,,,"Castra Rubra, Petit Manseng",2011,0.5,,,0,,Unlisted
A1,TRUE,FALSE,,,,France,,,White,,12.5,,,,"Charles Deloire, Pouilly Fume",2012,0.75,11.33, £	14.85 ,11.88,5%,370 bought too expensive
A2,TRUE,FALSE,,,,,,,White,,,,,,"Charles Deloire, Pouilly Fume",2012,0.375,10.24, £	8.50 ,6.8,-34%,60 bought too expensive
A2,TRUE,FALSE,,,,,,,White,,,,,,"Charles Deloire, Pouilly Fume",2010,0.375,4.1,NA,NA,,
A2,TRUE,FALSE,,,,,,,,,,,,,"Charles Deloire, Pouilly Fume",2011,0.75,10.69,NA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Chasse Spleen,2009,0.375,8.22916666666667,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Chasse Spleen,2006,0.75,17.38, £	43.65 ,34.92,101%,
A8,TRUE,FALSE,,,,France,Champagne,,White,,,,,,"Chassenay D'arc, Martivey Brut",NV,0.75,11.295, £	19.90 ,15.92,41%,
A6,TRUE,FALSE,,,,France,Champagne,,Rose,Sparkling,,,,,"Chassenay D'arc, Martivey Rose",NV,0.75,13.4016666666667, £	24.90 ,19.92,49%,
A5,TRUE,FALSE,,,,Italy,,,White,Still,,,,,"Citari, Lugana",2012,0.75,7.02,NA,NA,,shop?
,FALSE,FALSE,,,,,,,,,,,,,"Citari, Lugana",2010,0.75,6.84,NA,NA,,shop?
A4,TRUE,FALSE,,,,Italy,,,White,,,,,,"Citari, San Martino Della Battaglia Vv",2009,0.75,5.86,NA,NA,,
A4,TRUE,FALSE,,,,Italy,,,White,,,,,,"Citari, San Martino Della Battaglia Vv",2010,0.75,5.86, £	11.80 ,9.44,61%,
,FALSE,FALSE,,,,,,,,,,,,,"Clifford Bay, Pinot Noir",2004,0.75,8.65, £	19.30 ,15.44,78%,
,FALSE,FALSE,,,,,,,,,,,,,Climens,2005,0.75,42,NA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Clinet,2000,0.75,73.33, £	130.00 ,104,42%,13 bottles in the cellar ??
C8,TRUE,FALSE,,,,,,Saint Julien,,,,,6,,Clos Du Marouis,2008,0.75,,,,,
C3,TRUE,FALSE,,,,,,,,,,,12,,Clos Fourtet,2000,0.75,67.5, £	116.40 ,93.12,38%,46 bottles bought at market price
,FALSE,FALSE,,,,,,,,,,,,,Clos L'Eglise (Pomerol),2008,0.75,34.4583333333333, £	116.40 ,93.12,170%,
,FALSE,FALSE,,,,,,,,,,,,,Clos Marquis,2008,0.75,20, £	55.30 ,44.24,121%,
,FALSE,FALSE,,,,,,,,,,,,,Clos Marquis,2009,0.75,27.7916666666667,POA,NA,,
A2,TRUE,FALSE,,,,,,,Red,,13,,,,"Clos Pins, rouge",2009,0.375,5.62, £	9.80 ,7.84,40%,
C4,TRUE,FALSE,,,,,,,,,,,24,,Clos Rene,2000,0.375,11.7708333333333, £	24.00 ,19.2,63%,312 half bottles - push?
,FALSE,FALSE,,,,,,,,,,,,,Clos Rene,2000,0.75,62.71,NA,NA,,sold out?
,FALSE,FALSE,,,,,,,,,,,,,Clos Rene,2005,0.75,19.2916666666667, £	40.75 ,32.6,69%,
A5,TRUE,FALSE,,,,France,Bourgogne,,White,Still,,Premier Cru,,,"Coche-Bouillot, Meursault Charmes",2004,0.75,27.5, £	53.10 ,42.48,54%,
C3,TRUE,FALSE,,,,,,,,,,,,,Conseillante,1995,0.75,85.83, £	189.15 ,151.32,76%,
C3,TRUE,FALSE,,,,,,,,,,,,,Conseillante,1998,0.75,92.5, £	189.15 ,151.32,64%,
C3,TRUE,FALSE,,,,,,,,,,,,,Conseillante,2000,0.75,140, £	249.70 ,199.76,43%,
B2,TRUE,FALSE,,,,,,,,,,,12,,"Corte Aleardi, Amarone Valpolicella Classico",2007,0.75,20.63, £	42.75 ,34.2,66%,
,FALSE,FALSE,,,,,,,,,,,,,"Corte Aleardi, Amarone Valpolicella Classico",2006,1.50,40.39, £	98.70 ,78.96,95%,
